u,v,length,highway,geometry,edge_id
1724068162,1472212657,255.81200000000004,tertiary,"LINESTRING (77.68385 12.8241903, 77.6832224 12.8250298, 77.6829634 12.825345, 77.6827703 12.8256641, 77.6826564 12.8259295, 77.6825751 12.8261127)",184
1733896354,9780799581,227.175,residential,"LINESTRING (77.6825921 12.8271825, 77.6827918 12.8272154, 77.6830547 12.8271526, 77.6832693 12.827048, 77.6842081 12.8268545, 77.6846266 12.8267969)",185
1733896354,11007224151,62.75100000000001,tertiary,"LINESTRING (77.6825921 12.8271825, 77.682629 12.8270743, 77.6826967 12.8268252, 77.6827142 12.826788, 77.6827323 12.8267474, 77.6827466 12.8267203, 77.6827827 12.8266519)",186
1733896354,11903272896,66.307,tertiary,"LINESTRING (77.6825921 12.8271825, 77.6823601 12.8274699, 77.6823212 12.8275444, 77.6822675 12.8276451, 77.6822536 12.8276757)",187
1811348183,5968914606,139.507,tertiary,"LINESTRING (77.6744217 12.8435827, 77.6736514 12.8445877)",188
1811348183,459501956,491.0350000000001,tertiary,"LINESTRING (77.6744217 12.8435827, 77.6746089 12.8433279, 77.674875 12.8429781, 77.6753036 12.8424952, 77.6755029 12.8422706, 77.6756444 12.8420928, 77.6757726 12.8419317, 77.6758261 12.841854, 77.6760768 12.8414893, 77.6763335 12.8411174, 77.6763774 12.8410532, 77.6768187 12.8404161, 77.6769959 12.8401603, 77.6770889 12.8400385, 77.6770986 12.8400267)",189
1811348271,459513967,192.196,tertiary,"LINESTRING (77.6729655 12.8457719, 77.6731684 12.8455739, 77.6733096 12.8454182, 77.6734846 12.8452775, 77.6736075 12.8451907, 77.6737272 12.8451308, 77.6738592 12.845071, 77.673982 12.8450141, 77.674111 12.8449273, 77.6742 12.8448195, 77.6742683 12.8446579)",190
1811348271,11926112913,581.9069999999999,motorway_link,"LINESTRING (77.6729655 12.8457719, 77.6730911 12.8455735, 77.6733084 12.8453247, 77.6735035 12.8451765, 77.6739698 12.8449272, 77.6740947 12.844815, 77.6741797 12.8447044, 77.6742204 12.8445988, 77.6742496 12.8444932, 77.6742581 12.8443676, 77.674248 12.8442173, 77.6741848 12.8440665, 77.6741316 12.8440024, 77.6740447 12.8439021, 77.6739622 12.8438432, 77.6738446 12.8437754, 77.6737242 12.8437309, 77.6735893 12.8437299, 77.6734662 12.8437307, 77.6733503 12.8437572, 77.6732297 12.8438147, 77.6731155 12.8439038, 77.6730295 12.8440013, 77.6729506 12.844112, 77.6727212 12.8444292, 77.6724989 12.8447227, 77.6722283 12.845149, 77.6721448 12.8453016, 77.6721244 12.8453412)",191
1814804288,5922720526,45.298,residential,"LINESTRING (77.6849949 12.8251566, 77.6850151 12.8247497)",192
1814804288,1814804289,36.389,residential,"LINESTRING (77.6849949 12.8251566, 77.6853305 12.8251606)",193
1814804288,1814895817,35.374,residential,"LINESTRING (77.6849949 12.8251566, 77.6849857 12.8254746)",194
1814804288,1472212617,134.643,residential,"LINESTRING (77.6849949 12.8251566, 77.6847468 12.8251362, 77.6845445 12.8251363, 77.6842784 12.8251187, 77.6841545 12.8251122, 77.6839622 12.8250851, 77.6837616 12.8250417)",195
1814804289,1814804290,82.066,residential,"LINESTRING (77.6853305 12.8251606, 77.6853076 12.8258983)",196
1814804289,3203411671,40.837,residential,"LINESTRING (77.6853305 12.8251606, 77.6857071 12.8251668)",197
1814804289,1814804288,36.389,residential,"LINESTRING (77.6853305 12.8251606, 77.6849949 12.8251566)",198
1814804289,5922720526,146.484,residential,"LINESTRING (77.6853305 12.8251606, 77.6853564 12.8245462, 77.6853579 12.8244555, 77.6853119 12.8244198, 77.6852282 12.8243968, 77.6851479 12.8243957, 77.6850901 12.8244371, 77.6850667 12.8245073, 77.6850151 12.8247497)",199
1814804290,1814804289,82.066,residential,"LINESTRING (77.6853076 12.8258983, 77.6853305 12.8251606)",200
1814804290,1814804310,44.315,residential,"LINESTRING (77.6853076 12.8258983, 77.6856991 12.8257838)",201
1814804290,1814804293,139.226,residential,"LINESTRING (77.6853076 12.8258983, 77.6850555 12.8259244, 77.6842586 12.8260097, 77.6841352 12.8260463, 77.6840738 12.8261232)",202
1814804291,1814889209,43.43,residential,"LINESTRING (77.6861069 12.8256734, 77.6864824 12.8255374)",203
